,date,solar_produced_per_day,daylight,daylight_avg_temp,avg_cloudcover,avg_direct_radiation,weather,max_wind_speed,max_temp
0,2011-10-27,10.1,604.0,14.7,45.5,75.0,3,17.1,16.1
1,2011-10-28,10.0,600.0,16.0,16.5,143.0,3,9.1,17.4
2,2011-10-29,9.400000000000002,597.0,15.3,75.0,25.0,51,11.3,17.4
3,2011-10-30,4.600000000000001,593.0,15.100000000000001,91.5,49.0,3,15.3,16.2
4,2011-10-31,3.799999999999997,589.0,15.0,60.5,47.5,3,12.3,15.9
5,2011-11-01,8.600000000000001,585.0,14.65,22.5,75.0,61,15.9,16.3
6,2011-11-02,5.0,583.0,13.25,93.0,9.5,51,16.3,14.6
7,2011-11-03,7.0,579.0,16.799999999999997,89.5,13.5,51,26.6,17.8
8,2011-11-04,1.8999999999999986,575.0,16.35,31.5,115.0,53,31.7,17.9
9,2011-11-05,5.200000000000003,573.0,15.399999999999999,32.5,25.5,61,12.3,16.9
10,2011-11-06,6.099999999999994,569.0,12.45,100.0,7.5,3,19.3,12.8
11,2011-11-07,1.5,565.0,9.600000000000001,100.0,1.0,3,18.4,10.5
12,2011-11-08,0.5,562.0,12.25,100.0,31.0,51,12.1,13.6
13,2011-11-09,2.299999999999997,559.0,13.1,79.0,45.5,51,12.6,14.2
14,2011-11-10,6.400000000000006,556.0,11.05,2.0,128.0,0,13.5,13.0
15,2011-11-11,6.599999999999994,552.0,9.8,39.0,102.5,3,16.4,11.7
16,2011-11-12,6.400000000000006,549.0,11.65,28.0,98.0,1,13.2,13.7
17,2011-11-13,4.400000000000006,546.0,7.1,90.0,62.0,3,12.5,8.8
18,2011-11-14,1.5,543.0,8.0,0.0,158.0,1,9.9,10.0
19,2011-11-15,7.699999999999989,539.0,5.4,4.0,149.0,0,12.2,7.9
20,2011-11-16,6.900000000000006,537.0,5.6,0.0,156.0,0,10.2,7.8
21,2011-11-17,6.299999999999997,534.0,9.05,64.0,66.0,3,10.8,10.3
